,COUNTY,0 Bdrm,1 Bdrm,2 Bdrm,3 Bdrm,4 Bdrm,5+ Bdrm
0,All Counties,203122.0,959434.0,3094996.0,3688100.0,1348129.0,268543.0
4,Alachua County,3045.0,13449.0,32978.0,47078.0,20010.0,2301.0
12,Baker County,203.0,305.0,1868.0,5515.0,1675.0,539.0
20,Bay County,1971.0,10452.0,32402.0,45162.0,12472.0,1601.0
28,Bradford County,84.0,206.0,2369.0,6309.0,1480.0,323.0
36,Brevard County,3296.0,19958.0,72061.0,134172.0,53444.0,7383.0
44,Broward County,25504.0,127325.0,330424.0,249670.0,100411.0,26287.0
52,Calhoun County,61.0,444.0,1405.0,2885.0,753.0,132.0
60,Charlotte County,1699.0,5372.0,41758.0,54465.0,7230.0,806.0
68,Citrus County,635.0,3003.0,28740.0,41789.0,7275.0,700.0
76,Clay County,583.0,2702.0,11969.0,39371.0,25998.0,4970.0
84,Collier County,3119.0,13556.0,89526.0,92751.0,26573.0,4289.0
92,Columbia County,918.0,1217.0,7380.0,15723.0,3996.0,601.0
100,DeSoto County,264.0,2079.0,5437.0,6323.0,1331.0,133.0
108,Dixie County,228.0,771.0,2708.0,4635.0,756.0,206.0
116,Duval County,7742.0,49321.0,104511.0,188619.0,75370.0,11767.0
124,Escambia County,2390.0,9831.0,37234.0,70246.0,23139.0,3283.0
132,Flagler County,243.0,983.0,9873.0,33499.0,10334.0,1394.0
140,Franklin County,41.0,616.0,2551.0,3714.0,1226.0,267.0
148,Gadsden County,53.0,720.0,4259.0,10364.0,3077.0,473.0
156,Gilchrist County,141.0,271.0,1464.0,4656.0,790.0,257.0
164,Glades County,78.0,956.0,2473.0,2472.0,520.0,55.0
172,Gulf County,57.0,585.0,2382.0,4804.0,912.0,244.0
180,Hamilton County,42.0,299.0,1325.0,3035.0,843.0,86.0
188,Hardee County,64.0,1229.0,2943.0,4060.0,1470.0,71.0
196,Hendry County,130.0,1387.0,4641.0,7097.0,1690.0,282.0
204,Hernando County,617.0,3093.0,30022.0,42558.0,11760.0,1585.0
212,Highlands County,1075.0,5256.0,24942.0,21793.0,3942.0,597.0
220,Hillsborough County,13432.0,70106.0,159622.0,218646.0,120367.0,24161.0
228,Holmes County,126.0,312.0,2476.0,4677.0,904.0,140.0
236,Indian River County,881.0,4954.0,28054.0,37886.0,10644.0,1382.0
244,Jackson County,213.0,983.0,4398.0,11674.0,2395.0,359.0
252,Jefferson County,88.0,267.0,1481.0,3841.0,895.0,169.0
260,Lafayette County,136.0,116.0,847.0,1929.0,370.0,5.0
268,Lake County,2096.0,12059.0,55374.0,74051.0,28905.0,5613.0
276,Lee County,5592.0,29012.0,150323.0,184628.0,43865.0,6496.0
284,Leon County,2417.0,16775.0,33253.0,55077.0,23135.0,3450.0
292,Levy County,244.0,904.0,5575.0,11585.0,2494.0,170.0
300,Liberty County,15.0,174.0,1033.0,1400.0,457.0,39.0
308,Madison County,185.0,321.0,2159.0,4528.0,990.0,179.0
316,Manatee County,2464.0,18910.0,80602.0,76720.0,25261.0,4401.0
324,Marion County,2193.0,7929.0,57950.0,88159.0,20075.0,2773.0
332,Martin County,1035.0,4903.0,33771.0,29095.0,10714.0,2075.0
340,Miami-Dade County,54887.0,191975.0,341826.0,323115.0,133466.0,30009.0
348,Monroe County,1907.0,6554.0,22427.0,17594.0,4639.0,913.0
356,Nassau County,238.0,1477.0,6810.0,22774.0,9642.0,1180.0
364,Okaloosa County,1782.0,7428.0,22950.0,45908.0,20126.0,3214.0
372,Okeechobee County,353.0,1893.0,6397.0,7670.0,2037.0,146.0
380,Orange County,14770.0,64387.0,143747.0,197606.0,115339.0,29260.0
388,Osceola County,3362.0,11205.0,33542.0,61611.0,38245.0,9011.0
396,Palm Beach County,10497.0,74243.0,268688.0,242091.0,84228.0,28556.0
404,Pasco County,2450.0,19643.0,102137.0,85209.0,40072.0,9572.0
412,Pinellas County,17357.0,74688.0,222795.0,146825.0,46311.0,8300.0
420,Polk County,3472.0,24960.0,100044.0,130420.0,52241.0,8886.0
428,Putnam County,394.0,2939.0,11065.0,17594.0,3598.0,593.0
436,Santa Rosa County,558.0,2175.0,11113.0,40031.0,20306.0,2402.0
444,Sarasota County,3564.0,18414.0,106082.0,101850.0,20965.0,3726.0
452,Seminole County,3083.0,17881.0,42543.0,72584.0,47976.0,10677.0
460,Saint Johns County,918.0,4783.0,25834.0,46285.0,32251.0,10849.0
468,Saint Lucie County,1951.0,6630.0,46895.0,68448.0,23763.0,2367.0
476,Sumter County,558.0,3231.0,23406.0,44887.0,4023.0,818.0
484,Suwannee County,441.0,430.0,5284.0,10335.0,2335.0,123.0
492,Taylor County,336.0,823.0,3496.0,5107.0,1165.0,183.0
500,Union County,49.0,197.0,1009.0,2784.0,668.0,9.0
508,Volusia County,4577.0,21139.0,89979.0,120721.0,32875.0,4544.0
516,Wakulla County,79.0,229.0,2553.0,8352.0,2347.0,283.0
524,Walton County,1082.0,4546.0,13377.0,24930.0,10287.0,2522.0
532,Washington County,63.0,259.0,2870.0,6437.0,1042.0,203.0
