,COUNTY,Up to 1939,1940-1949,1950-1959,1960-1969,1970-1979,1980-1989,1990-1999,2000-2009,2009-2013,2014+
0,All Counties,201505.0,187898.0,668193.0,843507.0,1660611.0,1913454.0,1618900.0,1788851.0,257114.0,422291.0
4,Alachua County,3142.0,2380.0,6842.0,11853.0,21172.0,23170.0,22886.0,19875.0,3230.0,4311.0
12,Baker County,329.0,143.0,291.0,551.0,1964.0,1429.0,2284.0,2405.0,223.0,486.0
20,Bay County,1641.0,3570.0,5287.0,5520.0,13743.0,23648.0,19484.0,24212.0,2720.0,4235.0
28,Bradford County,338.0,427.0,708.0,1528.0,1841.0,1968.0,1656.0,1560.0,568.0,177.0
36,Brevard County,2389.0,1811.0,17606.0,40155.0,34491.0,71170.0,45540.0,55864.0,19387.0,1901.0
44,Broward County,6050.0,10041.0,76522.0,116563.0,226785.0,158214.0,128194.0,87528.0,46189.0,3535.0
52,Calhoun County,221.0,181.0,643.0,663.0,678.0,989.0,912.0,952.0,379.0,62.0
60,Charlotte County,327.0,398.0,3041.0,6883.0,18374.0,29356.0,18872.0,24752.0,8395.0,932.0
68,Citrus County,272.0,449.0,1724.0,4242.0,15675.0,22624.0,15018.0,16141.0,5343.0,654.0
76,Clay County,798.0,1051.0,2344.0,4498.0,11325.0,15439.0,16152.0,24092.0,8971.0,923.0
84,Collier County,694.0,462.0,2473.0,8287.0,27502.0,46369.0,57248.0,54474.0,29118.0,3187.0
92,Columbia County,765.0,768.0,1087.0,2234.0,4631.0,4481.0,6813.0,6298.0,2431.0,327.0
100,DeSoto County,608.0,271.0,881.0,1178.0,2737.0,2930.0,2430.0,3398.0,1101.0,33.0
108,Dixie County,301.0,135.0,577.0,609.0,979.0,2340.0,2347.0,1565.0,423.0,28.0
116,Duval County,21722.0,18112.0,46247.0,42479.0,53677.0,69423.0,60951.0,77663.0,42042.0,5014.0
124,Escambia County,5255.0,5941.0,14746.0,13871.0,25598.0,25780.0,21150.0,20247.0,12251.0,1284.0
132,Flagler County,205.0,55.0,558.0,563.0,4300.0,9666.0,11658.0,22646.0,5957.0,718.0
140,Franklin County,610.0,496.0,445.0,492.0,1022.0,1953.0,1363.0,1512.0,447.0,75.0
148,Gadsden County,730.0,1013.0,2357.0,1875.0,2653.0,3072.0,3288.0,3137.0,678.0,143.0
156,Gilchrist County,140.0,127.0,193.0,356.0,919.0,997.0,1840.0,1874.0,945.0,188.0
164,Glades County,28.0,141.0,250.0,382.0,1152.0,1486.0,1467.0,1246.0,385.0,17.0
172,Gulf County,234.0,139.0,524.0,735.0,731.0,1449.0,1274.0,2209.0,1527.0,162.0
180,Hamilton County,314.0,98.0,417.0,410.0,597.0,1029.0,1376.0,844.0,534.0,11.0
188,Hardee County,671.0,212.0,333.0,1007.0,2206.0,1203.0,1717.0,1683.0,792.0,13.0
196,Hendry County,203.0,222.0,728.0,844.0,2733.0,3874.0,3078.0,2043.0,1274.0,228.0
204,Hernando County,453.0,396.0,1787.0,3168.0,11875.0,27160.0,16320.0,22545.0,5465.0,466.0
212,Highlands County,921.0,863.0,2537.0,3836.0,10737.0,16023.0,11379.0,8623.0,2515.0,171.0
220,Hillsborough County,17492.0,12331.0,36844.0,44434.0,82224.0,113604.0,94276.0,116452.0,82602.0,6075.0
228,Holmes County,359.0,224.0,537.0,853.0,1805.0,1741.0,1682.0,1074.0,334.0,26.0
236,Indian River County,1177.0,475.0,3949.0,4847.0,12783.0,19313.0,12345.0,20884.0,7195.0,833.0
244,Jackson County,860.0,798.0,2021.0,1968.0,3603.0,3479.0,3901.0,2344.0,956.0,92.0
252,Jefferson County,404.0,342.0,174.0,629.0,937.0,1082.0,1417.0,1202.0,464.0,90.0
260,Lafayette County,131.0,41.0,318.0,313.0,618.0,520.0,774.0,410.0,278.0,0.0
268,Lake County,3765.0,1845.0,8723.0,9249.0,19627.0,28116.0,34374.0,43666.0,26843.0,1890.0
276,Lee County,2594.0,1690.0,8651.0,21356.0,58463.0,85511.0,71440.0,122995.0,43796.0,3420.0
284,Leon County,1892.0,3052.0,8397.0,10872.0,23846.0,26387.0,26690.0,22778.0,9762.0,431.0
292,Levy County,471.0,387.0,588.0,1380.0,3445.0,3727.0,4955.0,4501.0,1373.0,145.0
300,Liberty County,107.0,32.0,199.0,386.0,316.0,498.0,760.0,527.0,267.0,26.0
308,Madison County,666.0,488.0,604.0,756.0,889.0,1294.0,1745.0,1451.0,441.0,28.0
316,Manatee County,3109.0,2475.0,12630.0,18671.0,35598.0,35023.0,27583.0,37476.0,32234.0,3559.0
324,Marion County,2287.0,2034.0,5302.0,10291.0,25660.0,39115.0,34529.0,45510.0,12548.0,1803.0
332,Martin County,1396.0,502.0,3144.0,4590.0,17730.0,24691.0,12954.0,12237.0,4049.0,300.0
340,Miami-Dade County,34886.0,51041.0,144232.0,137118.0,189082.0,158292.0,129378.0,138731.0,86960.0,5558.0
348,Monroe County,3139.0,902.0,3390.0,6093.0,11728.0,12000.0,7886.0,4860.0,3490.0,546.0
356,Nassau County,805.0,616.0,1220.0,1509.0,4432.0,6770.0,8125.0,10101.0,7205.0,1338.0
364,Okaloosa County,730.0,1314.0,4729.0,9039.0,15722.0,19909.0,18868.0,18363.0,11605.0,1129.0
372,Okeechobee County,203.0,47.0,494.0,1122.0,3915.0,4641.0,3682.0,3212.0,1059.0,121.0
380,Orange County,7759.0,8489.0,37447.0,37687.0,66566.0,101337.0,101625.0,119211.0,80267.0,4721.0
388,Osceola County,1700.0,801.0,1661.0,3556.0,9582.0,25589.0,33311.0,47622.0,30296.0,2858.0
396,Palm Beach County,11551.0,8123.0,34187.0,54805.0,132876.0,190712.0,115274.0,110442.0,46661.0,3672.0
404,Pasco County,1691.0,1637.0,5911.0,15042.0,57808.0,50976.0,38099.0,55354.0,29154.0,3411.0
412,Pinellas County,18283.0,14835.0,72636.0,68226.0,135112.0,101575.0,49293.0,34056.0,20901.0,1359.0
420,Polk County,10405.0,5723.0,19387.0,21330.0,46790.0,56532.0,50182.0,69848.0,35606.0,4220.0
428,Putnam County,2232.0,705.0,2072.0,3972.0,5902.0,8544.0,5997.0,4924.0,1715.0,120.0
436,Santa Rosa County,661.0,650.0,2794.0,4281.0,8335.0,12712.0,15247.0,17576.0,12751.0,1578.0
444,Sarasota County,3311.0,2401.0,16131.0,22879.0,50194.0,49805.0,35721.0,45765.0,24952.0,3442.0
452,Seminole County,2452.0,1317.0,7516.0,11165.0,38035.0,51247.0,35368.0,30076.0,16456.0,1112.0
460,Saint Johns County,3209.0,670.0,2474.0,3142.0,9575.0,19461.0,18755.0,32033.0,27902.0,3699.0
468,Saint Lucie County,1568.0,1978.0,5086.0,6199.0,17498.0,35515.0,23772.0,41686.0,14165.0,2587.0
476,Sumter County,680.0,487.0,1099.0,1684.0,4043.0,6090.0,10564.0,28275.0,22377.0,1624.0
484,Suwannee County,683.0,595.0,625.0,696.0,3384.0,3760.0,4428.0,2889.0,1842.0,46.0
492,Taylor County,709.0,288.0,1153.0,819.0,1444.0,2260.0,1874.0,1892.0,583.0,88.0
500,Union County,223.0,61.0,122.0,339.0,647.0,1033.0,912.0,942.0,414.0,23.0
508,Volusia County,6142.0,4870.0,20255.0,20309.0,48944.0,66174.0,40770.0,46202.0,17502.0,2667.0
516,Wakulla County,156.0,131.0,630.0,651.0,1126.0,1798.0,3816.0,4080.0,1311.0,144.0
524,Walton County,645.0,477.0,1368.0,1645.0,3817.0,8396.0,12435.0,17574.0,9914.0,473.0
532,Washington County,490.0,386.0,653.0,1137.0,1744.0,1908.0,2183.0,1545.0,824.0,4.0
