,COUNTY,Occupied Housing Units,Total Housing Units,Vacant Hosing Units,Vacancy Rate: Homeowner,Vacancy Rate: Rental
0,All Counties,7931313.0,9562324,1631011.0,2.1,8.2
4,Alachua County,101979.0,118861,16882.0,2.9,15.6
12,Baker County,8828.0,10105,1277.0,0.3,0.7
20,Bay County,73536.0,104060,30524.0,2.2,15.2
28,Bradford County,9067.0,10771,1704.0,1.4,1.9
36,Brevard County,246650.0,290314,43664.0,1.2,10.8
44,Broward County,741973.0,859621,117648.0,1.5,6.0
52,Calhoun County,4448.0,5680,1232.0,0.9,6.8
60,Charlotte County,84671.0,111330,26659.0,1.7,13.3
68,Citrus County,67551.0,82142,14591.0,1.5,11.0
76,Clay County,79704.0,85593,5889.0,1.2,2.9
84,Collier County,156768.0,229814,73046.0,2.1,9.2
92,Columbia County,26391.0,29835,3444.0,0.8,3.8
100,DeSoto County,12340.0,15567,3227.0,0.8,5.4
108,Dixie County,6164.0,9304,3140.0,1.2,3.4
116,Duval County,396132.0,437330,41198.0,1.6,6.1
124,Escambia County,126537.0,146123,19586.0,1.7,5.7
132,Flagler County,47549.0,56326,8777.0,1.2,2.9
140,Franklin County,4761.0,8415,3654.0,1.1,41.1
148,Gadsden County,15885.0,18946,3061.0,0.7,5.1
156,Gilchrist County,6872.0,7579,707.0,1.4,1.8
164,Glades County,4637.0,6554,1917.0,0.9,5.5
172,Gulf County,5648.0,8984,3336.0,2.8,30.6
180,Hamilton County,4300.0,5630,1330.0,2.8,1.2
188,Hardee County,8127.0,9837,1710.0,3.2,2.7
196,Hendry County,13289.0,15227,1938.0,0.6,4.0
204,Hernando County,79169.0,89635,10466.0,1.3,7.4
212,Highlands County,44685.0,57605,12920.0,2.6,4.4
220,Hillsborough County,559970.0,606334,46364.0,1.1,6.1
228,Holmes County,7069.0,8635,1566.0,0.6,5.2
236,Indian River County,65735.0,83801,18066.0,3.0,16.8
244,Jackson County,16880.0,20022,3142.0,0.8,8.8
252,Jefferson County,5519.0,6741,1222.0,0.4,3.7
260,Lafayette County,2555.0,3403,848.0,0.3,0.0
268,Lake County,153817.0,178098,24281.0,2.1,9.6
276,Lee County,311348.0,419916,108568.0,1.8,9.2
284,Leon County,118755.0,134107,15352.0,1.1,5.1
292,Levy County,17843.0,20972,3129.0,0.3,5.6
300,Liberty County,2447.0,3118,671.0,0.0,0.0
308,Madison County,6693.0,8362,1669.0,1.3,4.8
316,Manatee County,161656.0,208358,46702.0,2.1,16.9
324,Marion County,154996.0,179079,24083.0,1.5,6.9
332,Martin County,66724.0,81593,14869.0,1.1,5.6
340,Miami-Dade County,952680.0,1075278,122598.0,1.5,5.4
348,Monroe County,34388.0,54034,19646.0,2.2,20.1
356,Nassau County,36336.0,42121,5785.0,1.0,5.9
364,Okaloosa County,83334.0,101408,18074.0,1.5,14.2
372,Okeechobee County,14919.0,18496,3577.0,2.4,3.5
380,Orange County,491378.0,565109,73731.0,3.4,11.1
388,Osceola County,119817.0,156976,37159.0,2.5,6.7
396,Palm Beach County,589594.0,708303,118709.0,1.4,6.8
404,Pasco County,223385.0,259083,35698.0,1.6,5.3
412,Pinellas County,418716.0,516276,97560.0,1.7,9.0
420,Polk County,264145.0,320023,55878.0,1.6,5.4
428,Putnam County,29782.0,36183,6401.0,1.4,4.1
436,Santa Rosa County,69524.0,76585,7061.0,1.2,5.0
444,Sarasota County,199345.0,254601,55256.0,1.2,8.4
452,Seminole County,183487.0,194744,11257.0,0.9,5.7
460,Saint Johns County,102056.0,120920,18864.0,2.1,6.3
468,Saint Lucie County,126443.0,150054,23611.0,1.5,9.1
476,Sumter County,64305.0,76923,12618.0,0.6,19.2
484,Suwannee County,15453.0,18948,3495.0,1.9,6.0
492,Taylor County,7465.0,11110,3645.0,1.8,17.1
500,Union County,4094.0,4716,622.0,0.0,0.4
508,Volusia County,232673.0,273835,41162.0,1.8,5.9
516,Wakulla County,11932.0,13843,1911.0,1.0,4.9
524,Walton County,31491.0,56744,25253.0,2.5,39.0
532,Washington County,9095.0,10874,1779.0,2.5,6.9
