geoid,state_fips_code,county_fips_code,Category,Total population
06037123304,06,037,Normal,4499
06037125502,06,037,Cost-burdened,3624
06037301902,06,037,Normal,3279
06037702002,06,037,Heavily cost burdened,6185
06037575803,06,037,Cost-burdened,2685
06037212102,06,037,Cost-burdened,2682
06037433103,06,037,Heavily cost burdened,7149
06037191901,06,037,Cost-burdened,3932
06037219010,06,037,Heavily cost burdened,3023
06037197420,06,037,Normal,3962
06037401602,06,037,Normal,5762
06037218600,06,037,Normal,3102
06037530006,06,037,Normal,4913
06037181400,06,037,Normal,4655
06037199201,06,037,Normal,3540
06037134520,06,037,Cost-burdened,5263
06037115404,06,037,Heavily cost burdened,2830
06037265522,06,037,Cost-burdened,2086
06037269903,06,037,Cost-burdened,3318
06037552200,06,037,Cost-burdened,5780
06037503302,06,037,Cost-burdened,5889
06037408213,06,037,Cost-burdened,5847
06037576402,06,037,Cost-burdened,4272
06037208710,06,037,Cost-burdened,4757
06037700502,06,037,Heavily cost burdened,3858
06037212501,06,037,Heavily cost burdened,1898
06037407501,06,037,Normal,3919
06037576200,06,037,Heavily cost burdened,5277
06037238310,06,037,Heavily cost burdened,5400
06037402301,06,037,Normal,5169
06037190102,06,037,Cost-burdened,2657
06037578000,06,037,Heavily cost burdened,6358
06037212410,06,037,Heavily cost burdened,4084
06037601211,06,037,Cost-burdened,3008
06037207501,06,037,Cost-burdened,1995
06037237720,06,037,Normal,3784
06037301502,06,037,Heavily cost burdened,7242
06037602106,06,037,Normal,6360
06037119201,06,037,Heavily cost burdened,4412
06037301602,06,037,Cost-burdened,3897
06037533401,06,037,Normal,4923
06037910707,06,037,Cost-burdened,5101
06037218400,06,037,Cost-burdened,4079
06037115301,06,037,Heavily cost burdened,4511
06037700102,06,037,Heavily cost burdened,4651
06037115104,06,037,Heavily cost burdened,4327
06037553502,06,037,Normal,4014
06037533204,06,037,Heavily cost burdened,4451
06037403000,06,037,Cost-burdened,6796
06037267503,06,037,Cost-burdened,2159
06037575902,06,037,Cost-burdened,5286
06037301701,06,037,Normal,2780
06037500402,06,037,Cost-burdened,4766
06037296300,06,037,Heavily cost burdened,4882
06037464200,06,037,Heavily cost burdened,5810
06037503105,06,037,Normal,3589
06037134905,06,037,Normal,5590
06037576602,06,037,Heavily cost burdened,4829
06037554900,06,037,Heavily cost burdened,7118
06037604200,06,037,Cost-burdened,5802
06037120103,06,037,Heavily cost burdened,3030
06037402405,06,037,Cost-burdened,2204
06037404201,06,037,Cost-burdened,3419
06037576802,06,037,Cost-burdened,4413
06037701801,06,037,Heavily cost burdened,6668
06037143605,06,037,Heavily cost burdened,1827
06037209510,06,037,Normal,2635
06037402501,06,037,Cost-burdened,4868
06037301204,06,037,Cost-burdened,5018
06037211910,06,037,Normal,4143
06037553802,06,037,Normal,6492
06037403902,06,037,Heavily cost burdened,5232
06037192410,06,037,Heavily cost burdened,4066
06037575901,06,037,Heavily cost burdened,3726
06037189904,06,037,Heavily cost burdened,2316
06037191420,06,037,Cost-burdened,3285
06037234902,06,037,Heavily cost burdened,4558
06037543203,06,037,Normal,4207
06037573300,06,037,Cost-burdened,3856
06037212420,06,037,Cost-burdened,2616
06037106408,06,037,Heavily cost burdened,3733
06037574902,06,037,Heavily cost burdened,5471
06037550902,06,037,Heavily cost burdened,5710
06037120107,06,037,Cost-burdened,4044
06037127103,06,037,Normal,3360
06037301702,06,037,Heavily cost burdened,6160
06037135116,06,037,Normal,1477
06037302002,06,037,Heavily cost burdened,3944
